description,ibkr-symbol,region,exchange,isin,just-etf,extra-etf
BNP QUALITY EUROPE ESG,QUED,LU - Luxembourg,SBF*,LU1481201611,https://www.justetf.com/es/etf-profile.html?isin=LU1481201611,https://extraetf.com/es/etf-profile/LU1481201611
GX NASDAQ 100 COV CALL UCITS,QYLD,IE - Ireland,BVME.ETF*,IE00BM8R0J59,https://www.justetf.com/es/etf-profile.html?isin=IE00BM8R0J59,https://extraetf.com/es/etf-profile/IE00BM8R0J59
RENAISSANCE IPO ETF,R321,US - United States,GETTEX*,US7599372049,https://www.justetf.com/es/etf-profile.html?isin=US7599372049,https://extraetf.com/es/etf-profile/US7599372049
GX SOLAR UCITS,RAYZ,IE - Ireland,BVME.ETF*,IE000XD7KCJ7,https://www.justetf.com/es/etf-profile.html?isin=IE000XD7KCJ7,https://extraetf.com/es/etf-profile/IE000XD7KCJ7
ISHARES AUTOMATION&ROBOTIC-A,RBOT,IE - Ireland,BVME.ETF*,IE00BYZK4552,https://www.justetf.com/es/etf-profile.html?isin=IE00BYZK4552,https://extraetf.com/es/etf-profile/IE00BYZK4552
RIZE CYBERSECURITY UCITS ETF,RCRS,IE - Ireland,FWB*,IE00BJXRZJ40,https://www.justetf.com/es/etf-profile.html?isin=IE00BJXRZJ40,https://extraetf.com/es/etf-profile/IE00BJXRZJ40
ADAETC-PHYS. CARDANO ETC,RDAN,DE - Germany,IBIS*,DE000A3GVKY4,https://www.justetf.com/es/etf-profile.html?isin=DE000A3GVKY4,https://extraetf.com/es/etf-profile/DE000A3GVKY4
L&G EM ESG PAB ETF,REAG,IE - Ireland,LSEETF*,IE000CBYU7J5,https://www.justetf.com/es/etf-profile.html?isin=IE000CBYU7J5,https://extraetf.com/es/etf-profile/IE000CBYU7J5
L&G CLEAN ENERGY UCITS ETF,RENW,IE - Ireland,BVME.ETF*,IE00BK5BCH80,https://www.justetf.com/es/etf-profile.html?isin=IE00BK5BCH80,https://extraetf.com/es/etf-profile/IE00BK5BCH80
BNPEASY CIRCULAR ECONOMY ETF,REUSE,LU - Luxembourg,SBF*,LU1953136527,https://www.justetf.com/es/etf-profile.html?isin=LU1953136527,https://extraetf.com/es/etf-profile/LU1953136527
AMDI FTSE EPRA NAREIT GL DEV,REWLD,LU - Luxembourg,BVME.ETF*,LU1832418773,https://www.justetf.com/es/etf-profile.html?isin=LU1832418773,https://extraetf.com/es/etf-profile/LU1832418773
MARKET ACCESS MSCI FM,RFRM,LU - Luxembourg,BVME.ETF*,LU0667622202,https://www.justetf.com/es/etf-profile.html?isin=LU0667622202,https://extraetf.com/es/etf-profile/LU0667622202
L&G EUROPE ESG EXCL PARIS,RIEU,IE - Ireland,LSEETF*,IE00BKLTRN76,https://www.justetf.com/es/etf-profile.html?isin=IE00BKLTRN76,https://extraetf.com/es/etf-profile/IE00BKLTRN76
AMUNDI MSCI BRAZIL-ETF ACC,RIO,LU - Luxembourg,SBF*,ES0115002018,https://www.justetf.com/es/etf-profile.html?isin=ES0115002018,https://extraetf.com/es/etf-profile/ES0115002018
RIZE SUSTAINABLE INFRA ETF,RIZD,IE - Ireland,IBIS*,IE000QUCVEN9,https://www.justetf.com/es/etf-profile.html?isin=IE000QUCVEN9,https://extraetf.com/es/etf-profile/IE000QUCVEN9
RIZE SUST FT OF FD UCITS ETF,RIZF,IE - Ireland,IBIS*,IE00BLRPQH31,https://www.justetf.com/es/etf-profile.html?isin=IE00BLRPQH31,https://extraetf.com/es/etf-profile/IE00BLRPQH31
RIZE USA ENVIRONMENT ETF,RIZJ,IE - Ireland,IBIS*,IE000PY7F8J9,https://www.justetf.com/es/etf-profile.html?isin=IE000PY7F8J9,https://extraetf.com/es/etf-profile/IE000PY7F8J9
GX RNW ENER P UCITS ETF USDA,RNRG,IE - Ireland,BVME.ETF*,IE00BLCHJH52,https://www.justetf.com/es/etf-profile.html?isin=IE00BLCHJH52,https://extraetf.com/es/etf-profile/IE00BLCHJH52
L&G ROBO GLOBAL ROBOTICS&AUT,ROBO,IE - Ireland,BVME.ETF*,IE00BMW3QX54,https://www.justetf.com/es/etf-profile.html?isin=IE00BMW3QX54,https://extraetf.com/es/etf-profile/IE00BMW3QX54
AMUNDI RUSSELL 2000 UCITS ET,RS2K,LU - Luxembourg,SBF*,LU1681038672,https://www.justetf.com/es/etf-profile.html?isin=LU1681038672,https://extraetf.com/es/etf-profile/LU1681038672
MARKET ACCESS TOPIX EUR-HDG,RTSE,LU - Luxembourg,BVME.ETF*,LU0562666403,https://www.justetf.com/es/etf-profile.html?isin=LU0562666403,https://extraetf.com/es/etf-profile/LU0562666403
L&G RUSSELL 2000 SM CAP QUAL,RTWO,IE - Ireland,AEB*,IE00B3CNHJ55,https://www.justetf.com/es/etf-profile.html?isin=IE00B3CNHJ55,https://extraetf.com/es/etf-profile/IE00B3CNHJ55
-3X SHORT COINBASE (COIN),S3CO,IE - Ireland,BVME.ETF*,XS2757381665,https://www.justetf.com/es/etf-profile.html?isin=XS2757381665,https://extraetf.com/es/etf-profile/XS2757381665
AMUNDI S&P 500 ESG UCITS ACC,S500,IE - Ireland,SBF*,IE000KXCEXR3,https://www.justetf.com/es/etf-profile.html?isin=IE000KXCEXR3,https://extraetf.com/es/etf-profile/IE000KXCEXR3
AMUNDI S&P 500 ESG UCITS AEH,S500H,IE - Ireland,SBF*,IE00058MW3M8,https://www.justetf.com/es/etf-profile.html?isin=IE00058MW3M8,https://extraetf.com/es/etf-profile/IE00058MW3M8
UBS ETF S&P 500 ESG USD DIS,S5SD,IE - Ireland,IBIS*,IE00BHXMHK04,https://www.justetf.com/es/etf-profile.html?isin=IE00BHXMHK04,https://extraetf.com/es/etf-profile/IE00BHXMHK04
UBSETF S&P 500 ESG H-EUR ACC,S5SG,IE - Ireland,IBIS*,IE00BHXMHQ65,https://www.justetf.com/es/etf-profile.html?isin=IE00BHXMHQ65,https://extraetf.com/es/etf-profile/IE00BHXMHQ65
ISHARES S&P 500 ACC,SACC,IE - Ireland,BVME.ETF*,IE00B4L5ZD99,https://www.justetf.com/es/etf-profile.html?isin=IE00B4L5ZD99,https://extraetf.com/es/etf-profile/IE00B4L5ZD99
AMUN MSCI EM ASIA SRI PAB,SADA,LU - Luxembourg,IBIS*,LU2300294589,https://www.justetf.com/es/etf-profile.html?isin=LU2300294589,https://extraetf.com/es/etf-profile/LU2300294589
AM MSCI USA ESG LEAD SLCT HE,SADH,LU - Luxembourg,FWB*,IE000IP0UC52,https://www.justetf.com/es/etf-profile.html?isin=IE000IP0UC52,https://extraetf.com/es/etf-profile/IE000IP0UC52
AM MSCI EM ESG LEAD,SADM,LU - Luxembourg,IBIS*,LU2109787551,https://www.justetf.com/es/etf-profile.html?isin=LU2109787551,https://extraetf.com/es/etf-profile/LU2109787551
-3X SHORT ARK INNOVATION ETP,SAKE,IE - Ireland,LSEETF*,XS2399368906,https://www.justetf.com/es/etf-profile.html?isin=XS2399368906,https://extraetf.com/es/etf-profile/XS2399368906
-3X SHORT APPLE,SALE,IE - Ireland,LSEETF*,XS2472334742,https://www.justetf.com/es/etf-profile.html?isin=XS2472334742,https://extraetf.com/es/etf-profile/XS2472334742
LEVERAGE SHARES -1XADV MICRO,SAME,IE - Ireland,LSEETF*,IE00BKT66Q62,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT66Q62,https://extraetf.com/es/etf-profile/IE00BKT66Q62
ISH EUR600 AUTO&PARTS DE ACC,SAOT,DE - Germany,AEB*,DE000A2QP4A8,https://www.justetf.com/es/etf-profile.html?isin=DE000A2QP4A8,https://extraetf.com/es/etf-profile/DE000A2QP4A8
LEVERAGE SHARES -1X APPLE,SAPE,IE - Ireland,LSEETF*,IE00BKTWZ451,https://www.justetf.com/es/etf-profile.html?isin=IE00BKTWZ451,https://extraetf.com/es/etf-profile/IE00BKTWZ451
ISHARES MSCI USD ESG SCR EHA,SAUA,IE - Ireland,BVME.ETF*,IE000G2LIHG9,https://www.justetf.com/es/etf-profile.html?isin=IE000G2LIHG9,https://extraetf.com/es/etf-profile/IE000G2LIHG9
ISHARES MSCI AUSTRALIA,SAUS,IE - Ireland,BVME.ETF*,IE00B5377D42,https://www.justetf.com/es/etf-profile.html?isin=IE00B5377D42,https://extraetf.com/es/etf-profile/IE00B5377D42
ISHARES MSCI WORLD ESG SCRND,SAWD,IE - Ireland,BVME.ETF*,IE00BFNM3J75,https://www.justetf.com/es/etf-profile.html?isin=IE00BFNM3J75,https://extraetf.com/es/etf-profile/IE00BFNM3J75
UBS ETF USD EM SOVEREIGN EUR,SBEME,LU - Luxembourg,EBS*,LU1324516308,https://www.justetf.com/es/etf-profile.html?isin=LU1324516308,https://extraetf.com/es/etf-profile/LU1324516308
AM MSCI EURP ESG UNIV SELECT,SBIE,LU - Luxembourg,FWB*,XS2337093525,https://www.justetf.com/es/etf-profile.html?isin=XS2337093525,https://extraetf.com/es/etf-profile/XS2337093525
-1X SHORT BIDU,SBIE,IE - Ireland,LSEETF*,XS2337093525,https://www.justetf.com/es/etf-profile.html?isin=XS2337093525,https://extraetf.com/es/etf-profile/XS2337093525
AMUN MSCI EM ESG BROAD CTB,SBIM,LU - Luxembourg,IBIS*,LU2109787049,https://www.justetf.com/es/etf-profile.html?isin=LU2109787049,https://extraetf.com/es/etf-profile/LU2109787049
INVESCO NASDAQ BIOTECH,SBIO,IE - Ireland,BVME.ETF*,IE00BQ70R696,https://www.justetf.com/es/etf-profile.html?isin=IE00BQ70R696,https://extraetf.com/es/etf-profile/IE00BQ70R696
WT BRENT CRUDE 1X DLY SHORT,SBRT,JE - Jersey,BVME.ETF*,JE00B78DPL57,https://www.justetf.com/es/etf-profile.html?isin=JE00B78DPL57,https://extraetf.com/es/etf-profile/JE00B78DPL57
WT GOLD 1X DAILY SHORT,SBUL,JE - Jersey,AEB*,JE00B24DKC09,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DKC09,https://extraetf.com/es/etf-profile/JE00B24DKC09
FT BBG SCARCE RES UCITS ETF,SCAR,IE - Ireland,BVME.ETF*,IE000BW2B3J3,https://www.justetf.com/es/etf-profile.html?isin=IE000BW2B3J3,https://extraetf.com/es/etf-profile/IE000BW2B3J3
-3X SHORT CHINA,SCHE,IE - Ireland,LSEETF*,XS2472196505,https://www.justetf.com/es/etf-profile.html?isin=XS2472196505,https://extraetf.com/es/etf-profile/XS2472196505
AMUNDI MSCI SMART CITIES ESG,SCITY,LU - Luxembourg,SBF*,LU2037748345,https://www.justetf.com/es/etf-profile.html?isin=LU2037748345,https://extraetf.com/es/etf-profile/LU2037748345
ISHARES USD SHORT DUR HY CRP,SDHY,IE - Ireland,AEB*,IE00BCRY6003,https://www.justetf.com/es/etf-profile.html?isin=IE00BCRY6003,https://extraetf.com/es/etf-profile/IE00BCRY6003
-1X SHORT DIS,SDIE,IE - Ireland,LSEETF*,XS2337085422,https://www.justetf.com/es/etf-profile.html?isin=XS2337085422,https://extraetf.com/es/etf-profile/XS2337085422
ISHARES USD SHORT DUR USD D,SDIG,IE - Ireland,AEB*,IE00BCRY5Y77,https://www.justetf.com/es/etf-profile.html?isin=IE00BCRY5Y77,https://extraetf.com/es/etf-profile/IE00BCRY5Y77
GX SUPERDIVIDEND UCITS-D,SDIV,IE - Ireland,BVME.ETF*,IE00077FRP95,https://www.justetf.com/es/etf-profile.html?isin=IE00077FRP95,https://extraetf.com/es/etf-profile/IE00077FRP95
UBS ETF JPM USD EM DIV 1-5,SEAA,LU - Luxembourg,IBIS*,LU1645385839,https://www.justetf.com/es/etf-profile.html?isin=LU1645385839,https://extraetf.com/es/etf-profile/LU1645385839
UBS ETF MSCI WORLD SRI USD A,SEAC,LU - Luxembourg,IBIS*,LU0950674332,https://www.justetf.com/es/etf-profile.html?isin=LU0950674332,https://extraetf.com/es/etf-profile/LU0950674332
UBS ETF JPM USD EM DIV 1-5ED,SEAD,LU - Luxembourg,IBIS*,LU1645386308,https://www.justetf.com/es/etf-profile.html?isin=LU1645386308,https://extraetf.com/es/etf-profile/LU1645386308
ISHARES EURO GOVT CLIM EUR A,SECA,IE - Ireland,EBS*,IE00BLDGH553,https://www.justetf.com/es/etf-profile.html?isin=IE00BLDGH553,https://extraetf.com/es/etf-profile/IE00BLDGH553
WT SHORT SEK LONG EUR,SEEU,JE - Jersey,BVME.ETF*,JE00B3NXB475,https://www.justetf.com/es/etf-profile.html?isin=JE00B3NXB475,https://extraetf.com/es/etf-profile/JE00B3NXB475
AMDI STOXX EUR DIV 30,SELD,LU - Luxembourg,IBIS*,LU1812092168,https://www.justetf.com/es/etf-profile.html?isin=LU1812092168,https://extraetf.com/es/etf-profile/LU1812092168
ISHARES JPM EM LCL GOV BND,SEML,IE - Ireland,BVME.ETF*,IE00B5M4WH52,https://www.justetf.com/es/etf-profile.html?isin=IE00B5M4WH52,https://extraetf.com/es/etf-profile/IE00B5M4WH52
ISHARES MSCI WORLD SRI-EURHD,SESW,IE - Ireland,EBS*,IE00BMZ17W23,https://www.justetf.com/es/etf-profile.html?isin=IE00BMZ17W23,https://extraetf.com/es/etf-profile/IE00BMZ17W23
AMINA BITCOIN ETP,SETB,KY - Cayman Islands,FWB*,CH0558875933,https://www.justetf.com/es/etf-profile.html?isin=CH0558875933,https://extraetf.com/es/etf-profile/CH0558875933
AMINA POLKADOT ETP,SETD,KY - Cayman Islands,FWB*,CH1113516871,https://www.justetf.com/es/etf-profile.html?isin=CH1113516871,https://extraetf.com/es/etf-profile/CH1113516871
AMINA ETHEREUM ETP,SETE,KY - Cayman Islands,FWB*,CH0587418630,https://www.justetf.com/es/etf-profile.html?isin=CH0587418630,https://extraetf.com/es/etf-profile/CH0587418630
AMINA CRYPTO ASS SEL IND ETP,SETS,KY - Cayman Islands,FWB*,CH0568452707,https://www.justetf.com/es/etf-profile.html?isin=CH0568452707,https://extraetf.com/es/etf-profile/CH0568452707
BNP PARIBAS EASY SUT EUR CB,SEUCB,LU - Luxembourg,BVME.ETF*,LU2697596745,https://www.justetf.com/es/etf-profile.html?isin=LU2697596745,https://extraetf.com/es/etf-profile/LU2697596745
GRANITESHARES 1X SHORT FAANG,SFNE,IE - Ireland,LSEETF*,XS2679090162,https://www.justetf.com/es/etf-profile.html?isin=XS2679090162,https://extraetf.com/es/etf-profile/XS2679090162
GRANITESHARES 1X SHORT FATAN,SFTE,IE - Ireland,LSEETF*,XS2696137772,https://www.justetf.com/es/etf-profile.html?isin=XS2696137772,https://extraetf.com/es/etf-profile/XS2696137772
LS -3X GOLD MINERS,SGDE,IE - Ireland,LSEETF*,XS2399369979,https://www.justetf.com/es/etf-profile.html?isin=XS2399369979,https://extraetf.com/es/etf-profile/XS2399369979
INVESCO PHYSICAL GOLD ETC,SGLD,IE - Ireland,BVME.ETF*,IE00B579F325,https://www.justetf.com/es/etf-profile.html?isin=IE00B579F325,https://extraetf.com/es/etf-profile/IE00B579F325
-3X SHORT GOLD,SGLE,IE - Ireland,LSEETF*,XS2472195283,https://www.justetf.com/es/etf-profile.html?isin=XS2472195283,https://extraetf.com/es/etf-profile/XS2472195283
GRANITESHARES 1X SHORT GAFAM,SGME,IE - Ireland,LSEETF*,XS2684011997,https://www.justetf.com/es/etf-profile.html?isin=XS2684011997,https://extraetf.com/es/etf-profile/XS2684011997
LEVERAGE SHARES -1X ALPHABET,SGOE,IE - Ireland,LSEETF*,IE00BKTW9N20,https://www.justetf.com/es/etf-profile.html?isin=IE00BKTW9N20,https://extraetf.com/es/etf-profile/IE00BKTW9N20
AM GLOB EQ QUALITY INC-ETF D,SGQI,LU - Luxembourg,SBF*,LU0832436512,https://www.justetf.com/es/etf-profile.html?isin=LU0832436512,https://extraetf.com/es/etf-profile/LU0832436512
ETFS 1X DAILY SHORT GRAINS,SGRA,JE - Jersey,BVME.ETF*,JE00B24DL387,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DL387,https://extraetf.com/es/etf-profile/JE00B24DL387
SOCGEN ETC EUA FUTURE,SGS1,LU - Luxembourg,IBIS*,DE000ETC0001,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0001,https://extraetf.com/es/etf-profile/DE000ETC0001
SG ETC BRENT OIL FUTURE,SGS2,LU - Luxembourg,IBIS*,DE000ETC0696,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0696,https://extraetf.com/es/etf-profile/DE000ETC0696
SG ETC NATURAL GAS FUTURE,SGS3,LU - Luxembourg,IBIS*,DE000ETC0704,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0704,https://extraetf.com/es/etf-profile/DE000ETC0704
SG ETC GOLD FUTURE,SGS4,LU - Luxembourg,IBIS*,DE000ETC0738,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0738,https://extraetf.com/es/etf-profile/DE000ETC0738
SG ETC SILVER FUTURE,SGS5,LU - Luxembourg,IBIS*,DE000ETC0746,https://www.justetf.com/es/etf-profile.html?isin=DE000ETC0746,https://extraetf.com/es/etf-profile/DE000ETC0746
LEVERAGE SHARES -1X SHORT GO,SGSE,IE - Ireland,LSEETF*,XS2297553153,https://www.justetf.com/es/etf-profile.html?isin=XS2297553153,https://extraetf.com/es/etf-profile/XS2297553153
-3X GERMANY 40,SGYE,IE - Ireland,LSEETF*,XS2472332290,https://www.justetf.com/es/etf-profile.html?isin=XS2472332290,https://extraetf.com/es/etf-profile/XS2472332290
AMUND CAC 40 DAILY -1X INVER,SHC,FR - France,SBF*,FR0010591362,https://www.justetf.com/es/etf-profile.html?isin=FR0010591362,https://extraetf.com/es/etf-profile/FR0010591362
UBS ETF JPM USD EM DIV 1-5EA,SHEME,LU - Luxembourg,EBS*,LU1645386480,https://www.justetf.com/es/etf-profile.html?isin=LU1645386480,https://extraetf.com/es/etf-profile/LU1645386480
UBSETF EURUSESG EUR ACC,SHORT,IE - Ireland,BVME.ETF*,IE000RW7V8Q4,https://www.justetf.com/es/etf-profile.html?isin=IE000RW7V8Q4,https://extraetf.com/es/etf-profile/IE000RW7V8Q4
GLOBAL X SILVER MINERS UCITS,SILV,IE - Ireland,BVME.ETF*,IE000UL6CLP7,https://www.justetf.com/es/etf-profile.html?isin=IE000UL6CLP7,https://extraetf.com/es/etf-profile/IE000UL6CLP7
WT INDUS METALS 1X DLY SHORT,SIMT,JE - Jersey,BVME.ETF*,JE00B24DKZ36,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DKZ36,https://extraetf.com/es/etf-profile/JE00B24DKZ36
-3X SHORT JAPAN,SJAP,IE - Ireland,LSEETF*,XS2472196927,https://www.justetf.com/es/etf-profile.html?isin=XS2472196927,https://extraetf.com/es/etf-profile/XS2472196927
ISHARES CORE MSCI JP - EURHA,SJPE,IE - Ireland,AEB*,IE00BKT6FV49,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT6FV49,https://extraetf.com/es/etf-profile/IE00BKT6FV49
LEVERAGE SHARES -1X SHORT JP,SJPE,IE - Ireland,LSEETF*,IE00BKT6FV49,https://www.justetf.com/es/etf-profile.html?isin=IE00BKT6FV49,https://extraetf.com/es/etf-profile/IE00BKT6FV49
FIRST TRUST CLOUD COMPUTING,SKYE,IE - Ireland,AEB*,IE00BFD2H405,https://www.justetf.com/es/etf-profile.html?isin=IE00BFD2H405,https://extraetf.com/es/etf-profile/IE00BFD2H405
DDA CRYPTO TOP 10 ETP,SLCT,LI - Liechtenstein,IBIS*,DE000A3G3ZD0,https://www.justetf.com/es/etf-profile.html?isin=DE000A3G3ZD0,https://extraetf.com/es/etf-profile/DE000A3G3ZD0
ETFS 1X DAILY SHORT LEAD,SLEA,JE - Jersey,BVME.ETF*,JE00B2NFT088,https://www.justetf.com/es/etf-profile.html?isin=JE00B2NFT088,https://extraetf.com/es/etf-profile/JE00B2NFT088
ISHARES MSCI EMU ESG SCREEND,SLMA,IE - Ireland,EBS*,IE00BFNM3B99,https://www.justetf.com/es/etf-profile.html?isin=IE00BFNM3B99,https://extraetf.com/es/etf-profile/IE00BFNM3B99
ISHARES EMU ESG SCRN USD-DIS,SLMB,IE - Ireland,EBS*,IE00BFNM3C07,https://www.justetf.com/es/etf-profile.html?isin=IE00BFNM3C07,https://extraetf.com/es/etf-profile/IE00BFNM3C07
ISHARES MSCI EUROPE ESG SCRN,SLMC,IE - Ireland,EBS*,IE00BFNM3D14,https://www.justetf.com/es/etf-profile.html?isin=IE00BFNM3D14,https://extraetf.com/es/etf-profile/IE00BFNM3D14
ISHARES EUROPE ESG USD-DIST,SLMD,IE - Ireland,EBS*,IE00BFNM3F38,https://www.justetf.com/es/etf-profile.html?isin=IE00BFNM3F38,https://extraetf.com/es/etf-profile/IE00BFNM3F38
ETFS 1X DAILY SHORT LIVESTOC,SLST,JE - Jersey,BVME.ETF*,JE00B24DL270,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DL270,https://extraetf.com/es/etf-profile/JE00B24DL270
SG ETC SILVER COLLATERALIZED,SLVR1L,LU - Luxembourg,BVME.ETF*,XS1526242711,https://www.justetf.com/es/etf-profile.html?isin=XS1526242711,https://extraetf.com/es/etf-profile/XS1526242711
SG ETC SILVER 2X DAILY LVRG,SLVR2L,LU - Luxembourg,BVME.ETF*,XS1526242802,https://www.justetf.com/es/etf-profile.html?isin=XS1526242802,https://extraetf.com/es/etf-profile/XS1526242802
SG ETC SILVER DAILY EU HDG C,SLVRH,LU - Luxembourg,BVME.ETF*,XS1526243362,https://www.justetf.com/es/etf-profile.html?isin=XS1526243362,https://extraetf.com/es/etf-profile/XS1526243362
WT SILVER,SLVRP,JE - Jersey,SBF*,GB00B15KY328,https://www.justetf.com/es/etf-profile.html?isin=GB00B15KY328,https://extraetf.com/es/etf-profile/GB00B15KY328
LS 3X SEMICONDUCT,SM3E,IE - Ireland,LSEETF*,XS2399367502,https://www.justetf.com/es/etf-profile.html?isin=XS2399367502,https://extraetf.com/es/etf-profile/XS2399367502
AMUN IDX EQY GBL MS AL STF B,SM8T,LU - Luxembourg,IBIS*,LU1602145119,https://www.justetf.com/es/etf-profile.html?isin=LU1602145119,https://extraetf.com/es/etf-profile/LU1602145119
LYXOR SMART OVERNIGHT RETURN,SMARTU,LU - Luxembourg,BVME.ETF*,LU1248511575,https://www.justetf.com/es/etf-profile.html?isin=LU1248511575,https://extraetf.com/es/etf-profile/LU1248511575
SPDR EUROPE SMALL CAP,SMC,IE - Ireland,SBF*,IE00BKWQ0M75,https://www.justetf.com/es/etf-profile.html?isin=IE00BKWQ0M75,https://extraetf.com/es/etf-profile/IE00BKWQ0M75
LEVERAGE SHARES 2X LONG SUPE,SMCI,IE - Ireland,BVME.ETF*,XS2779863021,https://www.justetf.com/es/etf-profile.html?isin=XS2779863021,https://extraetf.com/es/etf-profile/XS2779863021
ISHARES MSCI EMU SRI-EUR DIS,SMDU,IE - Ireland,AEB*,IE00BJM0B415,https://www.justetf.com/es/etf-profile.html?isin=IE00BJM0B415,https://extraetf.com/es/etf-profile/IE00BJM0B415
VANECK SEMICONDUCTOR ETF,SMH,IE - Ireland,BVME.ETF*,IE00BMC38736,https://www.justetf.com/es/etf-profile.html?isin=IE00BMC38736,https://extraetf.com/es/etf-profile/IE00BMC38736
AMUNDI US SMRT ALOC SCI BETA,SMTU,LU - Luxembourg,BVME.ETF*,LU1589350070,https://www.justetf.com/es/etf-profile.html?isin=LU1589350070,https://extraetf.com/es/etf-profile/LU1589350070
ISHARES MSCI EMU SRI-EUR ACC,SMUA,IE - Ireland,AEB*,IE00BJLKK341,https://www.justetf.com/es/etf-profile.html?isin=IE00BJLKK341,https://extraetf.com/es/etf-profile/IE00BJLKK341
-3X NVIDIA,SNDE,IE - Ireland,LSEETF*,XS2706225427,https://www.justetf.com/es/etf-profile.html?isin=XS2706225427,https://extraetf.com/es/etf-profile/XS2706225427
LEVERAGE SHARES -1X NETFLIX,SNFE,IE - Ireland,LSEETF*,IE00BKTWZ782,https://www.justetf.com/es/etf-profile.html?isin=IE00BKTWZ782,https://extraetf.com/es/etf-profile/IE00BKTWZ782
LS -3X SHORT NIO,SNIE,IE - Ireland,LSEETF*,XS2706223133,https://www.justetf.com/es/etf-profile.html?isin=XS2706223133,https://extraetf.com/es/etf-profile/XS2706223133
WT NICKEL 1X DAILY SHORT,SNIK,JE - Jersey,BVME.ETF*,JE00B24DKJ77,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DKJ77,https://extraetf.com/es/etf-profile/JE00B24DKJ77
ETFS 1X DAILY SHORT ENERGY,SNRG,JE - Jersey,BVME.ETF*,JE00B24DKV97,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DKV97,https://extraetf.com/es/etf-profile/JE00B24DKV97
GX INTERNET OF THI UCITS,SNSR,IE - Ireland,BVME.ETF*,IE00BLCHJT74,https://www.justetf.com/es/etf-profile.html?isin=IE00BLCHJT74,https://extraetf.com/es/etf-profile/IE00BLCHJT74
LEVERAGE SHARES -1X NVIDIA,SNVE,IE - Ireland,LSEETF*,IE00BKTW5674,https://www.justetf.com/es/etf-profile.html?isin=IE00BKTW5674,https://extraetf.com/es/etf-profile/IE00BKTW5674
-2X WTI OIL,SOIE,IE - Ireland,LSEETF*,XS2472195440,https://www.justetf.com/es/etf-profile.html?isin=XS2472195440,https://extraetf.com/es/etf-profile/XS2472195440
WT WTI CRUDE 1X DLY SHORT,SOIL,JE - Jersey,BVME.ETF*,JE00B24DK975,https://www.justetf.com/es/etf-profile.html?isin=JE00B24DK975,https://extraetf.com/es/etf-profile/JE00B24DK975
FIGMENT SOLANA PLUS SR ETP,SOLFEUR,CH - Switzerland,EBS*,CH1327686049,https://www.justetf.com/es/etf-profile.html?isin=CH1327686049,https://extraetf.com/es/etf-profile/CH1327686049
VALOUR SOLANA,SOLVE,KY - Cayman Islands,SBF*,CH1114178838,https://www.justetf.com/es/etf-profile.html?isin=CH1114178838,https://extraetf.com/es/etf-profile/CH1114178838
LEVERAGE SHARES 4X LONG SEMI,SOXL,IE - Ireland,BVME.ETF*,XS2779861082,https://www.justetf.com/es/etf-profile.html?isin=XS2779861082,https://extraetf.com/es/etf-profile/XS2779861082
LEVERAGE SHARES -4X SHORT SE,SOXS,IE - Ireland,BVME.ETF*,XS2779861165,https://www.justetf.com/es/etf-profile.html?isin=XS2779861165,https://extraetf.com/es/etf-profile/XS2779861165
WT SOYBEANS,SOYB,JE - Jersey,BVME.ETF*,GB00B15KY542,https://www.justetf.com/es/etf-profile.html?isin=GB00B15KY542,https://extraetf.com/es/etf-profile/GB00B15KY542
AM S&P 500 II-ETF EUR DIST,SP5,LU - Luxembourg,SBF*,LU0496786574,https://www.justetf.com/es/etf-profile.html?isin=LU0496786574,https://extraetf.com/es/etf-profile/LU0496786574
UBS ETF S&P 500 H EUR A-ACC,SP500E,IE - Ireland,EBS*,IE00BD34DK07,https://www.justetf.com/es/etf-profile.html?isin=IE00BD34DK07,https://extraetf.com/es/etf-profile/IE00BD34DK07
AM S&P 500 II-ETF ACC,SP5C,LU - Luxembourg,SBF*,LU1135865084,https://www.justetf.com/es/etf-profile.html?isin=LU1135865084,https://extraetf.com/es/etf-profile/LU1135865084
AM S&P 500 II-ETF EUR H DIST,SP5H,LU - Luxembourg,SBF*,LU0959211243,https://www.justetf.com/es/etf-profile.html?isin=LU0959211243,https://extraetf.com/es/etf-profile/LU0959211243
UBS ETF USA DIV AR ESG EUR D,SPDE,IE - Ireland,BVME.ETF*,IE000S6476U8,https://www.justetf.com/es/etf-profile.html?isin=IE000S6476U8,https://extraetf.com/es/etf-profile/IE000S6476U8
BNP PARIBAS EASY S&P 500 ESG,SPEEU,IE - Ireland,SBF*,IE0004J37T45,https://www.justetf.com/es/etf-profile.html?isin=IE0004J37T45,https://extraetf.com/es/etf-profile/IE0004J37T45
